"","Ano","Region","sector","GDP","region13","GDP2","MP"
"1","2013","I","Agricultura",2,1,3214,7.64532742998986
"2","2013","I","Pesca",44,1,3214,7.64532742998986
"3","2013","I","Mineria",1128,1,3214,7.64532742998986
"4","2013","I","Manufactura",219,1,3214,7.64532742998986
"5","2013","I","EGA",47,1,3214,7.64532742998986
"6","2013","I","Construccion",265,1,3214,7.64532742998986
"7","2013","I","Com/Rest/Hoteles",370,1,3214,7.64532742998986
"8","2013","I","Transp/Com",219,1,3214,7.64532742998986
"9","2013","I","SsFinanEmp",335,1,3214,7.64532742998986
"10","2013","I","SsVivienda",148,1,3214,7.64532742998986
"11","2013","I","SsPersonales",266,1,3214,7.64532742998986
"12","2013","I","AdmPublica",171,1,3214,7.64532742998986
"13","2013","II","Agricultura",3,2,13842,32.9267648680522
"14","2013","II","Pesca",18,2,13842,32.9267648680522
"15","2013","II","Mineria",7380,2,13842,32.9267648680522
"16","2013","II","Manufactura",794,2,13842,32.9267648680522
"17","2013","II","EGA",401,2,13842,32.9267648680522
"18","2013","II","Construccion",1558,2,13842,32.9267648680522
"19","2013","II","Com/Rest/Hoteles",473,2,13842,32.9267648680522
"20","2013","II","Transp/Com",631,2,13842,32.9267648680522
"21","2013","II","SsFinanEmp",1522,2,13842,32.9267648680522
"22","2013","II","SsVivienda",268,2,13842,32.9267648680522
"23","2013","II","SsPersonales",597,2,13842,32.9267648680522
"24","2013","II","AdmPublica",197,2,13842,32.9267648680522
"25","2013","III","Agricultura",67,3,3736,4.37855241676006
"26","2013","III","Pesca",19,3,3736,4.37855241676006
"27","2013","III","Mineria",1375,3,3736,4.37855241676006
"28","2013","III","Manufactura",67,3,3736,4.37855241676006
"29","2013","III","EGA",169,3,3736,4.37855241676006
"30","2013","III","Construccion",762,3,3736,4.37855241676006
"31","2013","III","Com/Rest/Hoteles",155,3,3736,4.37855241676006
"32","2013","III","Transp/Com",155,3,3736,4.37855241676006
"33","2013","III","SsFinanEmp",518,3,3736,4.37855241676006
"34","2013","III","SsVivienda",128,3,3736,4.37855241676006
"35","2013","III","SsPersonales",197,3,3736,4.37855241676006
"36","2013","III","AdmPublica",124,3,3736,4.37855241676006
